"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
85,"H5N1 Priming and Boosting Strategies","Completed","Has Results","Influenza","Biological: A/Vietnam/1203/04|Biological: A/Indonesia/05/05","The Hope Clinic of the Emory Vaccine Center, Decatur, Georgia, United States|Mayo Clinic, Rochester - Vaccine Research Group, Rochester, Minnesota, United States|Saint Louis University, St. Louis, Missouri, United States|Group Health Cooperative, Seattle, Washington, United States|University of Washington, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT00703053"
86,"Dose-Escalating Trial Using Vero Cell-culture Derived H5N1 +/- Aluminum in Adults","Completed","No Results Available","Influenza","Biological: Aluminum hydroxide|Biological: Inactivated Vero cell based whole virus influenza A/H5N1|Drug: Placebo","Stanford University, Stanford, California, United States|UCLA Center For Vaccine Research, Torrance, California, United States|University of Maryland School of Medicine, Baltimore, Maryland, United States|Vanderbilt University, Nashville, Tennessee, United States|Baylor College of Medicine, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00382980"
87,"Clinical Study of the Immunogenicity of GSK Biologicals' Influenza Vaccine GSK2186877A in People Aged 65 Years or Older","Completed","Has Results","Influenza","Biological: GSK Biologicals' influenza vaccine GSK2186877A|Biological: GSK Biologicals' Fluarix","GSK Investigational Site, Houston, Texas, United States|GSK Investigational Site, Barcelona, Spain|GSK Investigational Site, Madrid, Spain|GSK Investigational Site, Marid, Spain","https://ClinicalTrials.gov/show/NCT00765076"
88,"Studies of Influenza Vaccine and Tetanus-Pneumococcal Vaccine in HIV-infected Patients Receiving Interleukin-2","Completed","No Results Available","HIV Infections","Drug: Interleukin-2","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States|Hvidovre University Hospital@@@Copenhagen, Denmark, Copenhagen, Denmark","https://ClinicalTrials.gov/show/NCT00050726"
89,"A/H5N1 Dose Ranging Study With Adjuvant Patch","Completed","No Results Available","Pandemic Influenza","Biological: A/H5N1|Biological: Placebo","Solano Clinical Research, Vallejo, California, United States|Miami Research Associates, Miami, Florida, United States|Quintiles Phase One Services, Kansas City, Kansas, United States|Jean Brown Research, Salt Lake City, Utah, United States|Northwest Kinetics, Tacoma, Washington, United States","https://ClinicalTrials.gov/show/NCT00532792"
90,"FLU-VACS Comparative Study in Adults","Completed","No Results Available","Influenza","Biological: Cold-adapted live attenuated influenza virus vaccine, trivalent|Other: Placebo|Biological: Trivalent inactivated influenza vaccine","Ann Arbor West, Ann Arbor, Michigan, United States|University of Michigan, Ann Arbor, Michigan, United States|Western Michigan University Health Services, Kalamazoo, Michigan, United States|Livonia East, Livonia, Michigan, United States|Central Michigan University Health Services, Mt. Pleasant, Michigan, United States|Eastern Michigan University Health Services, Ypsilanti, Michigan, United States","https://ClinicalTrials.gov/show/NCT00133523"
91,"Evaluation of Responses to Fluzone® in Infants ≥ 6 Months of Age Who Did or Did Not Receive Fluzone® at 2 Months of Age","Completed","Has Results","Influenza","Biological: Influenza Virus Vaccine","Little Rock, Arkansas, United States|Marietta, Georgia, United States|Durham, North Carolina, United States|Dayton, Ohio, United States|Pittsburgh, Pennsylvania, United States|Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT00885105"
92,"Phase 1 Study of a H5N1 Influenza Vaccine (Reverse Genetic Reassortant)","Completed","No Results Available","Influenza|Pandemic Influenza","Biological: H5N1 Influenza Vaccine, Whole virion, Vero cell-derived, Inactivated Influenza Vaccine, non-adjuvanted (reverse genetic reassortant/H5N1 hemagglutinin antigen)","Heartland Research Associates, LLC, Wichita, Kansas, United States|Central Kentucky Research Associates, Inc., Lexington, Kentucky, United States|The Center for Pharmaceutical Research, Kansas City, Missouri, United States|Rochester Clinical Research, Rochester, New York, United States|Omega Medical Research, Warwick, Rhode Island, United States|Research Across America, Dallas, Texas, United States","https://ClinicalTrials.gov/show/NCT00783926"
93,"A Study of Tamiflu (Oseltamivir) for Seasonal Prophylaxis of Influenza in Children.","Completed","No Results Available","Influenza","Drug: oseltamivir [Tamiflu]","West Palm Beach, Florida, United States|Pittsburgh, Pennsylvania, United States|Jackson, Tennessee, United States|El Paso, Texas, United States|Coquitlam, British Columbia, Canada|Aalborg, Denmark","https://ClinicalTrials.gov/show/NCT00412555"
94,"Safety and Immunogenicity Testing of Influenza Vaccine in Healthy Children 2 Months and 6 Months of Age","Completed","Has Results","Influenza","Biological: Influenza virus vaccine (2004-2005 Formulation)","Little Rock, Arkansas, United States|Marietta, Georgia, United States|Durham, North Carolina, United States|Akron, Ohio, United States|Dayton, Ohio, United States|Pittsburgh, Pennsylvania, United States|Norfolk, Virginia, United States|Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT00858468"
95,"Study of Different Formulations of an Intramuscular A/H5N1 Inactivated, Split Virion Influenza Adjuvanted Vaccine","Completed","No Results Available","Influenza|Orthomyxoviridae Infections","Biological: Monovalent subvirion H5N1 influenza vaccine|Biological: Physiological saline","San Diego, California, United States|South Miami, Florida, United States|Springfield, Missouri, United States|Cincinnati, Ohio, United States|Cincinnati, Ohio, United States|Knoxville, Tennessee, United States","https://ClinicalTrials.gov/show/NCT00664417"
96,"Pivotal, Multicenter, Observer-Blind, Randomized Study of Influenza A (H1N1)2009 Monovalent Subunit Vaccine With and Without Adjuvant in Children Ages 6 to <36 Months","Completed","Has Results","Influenza","Biological: MF59-eH1N1_f","Bentonville, Arkansas, United States|Fort Smith, Arkansas, United States|Canoga Park, California, United States|Dinuba, California, United States|Fresno, California, United States|Long Beach, California, United States|Los Angeles, California, United States|Madera, California, United States|Torrance, California, United States|New Albany, Indiana, United States|Newton, Kansas, United States|Wichita, Kansas, United States|Bardstown, Kentucky, United States|Woburn, Massachusetts, United States|Fargo, North Dakota, United States|Dayton, Ohio, United States|Huber Heights, Ohio, United States|Oklahoma City, Oklahoma, United States|Charleston, South Carolina, United States|Spartanburg, South Carolina, United States|Lebanon, Tennessee, United States|Dallas, Texas, United States|Houston, Texas, United States|Provo, Utah, United States|Saint George, Utah, United States|South Jordan, Utah, United States|West Jordan, Utah, United States|Charlottesville, Virginia, United States|Delegacion Tlalpan, Mexico","https://ClinicalTrials.gov/show/NCT00996307"
97,"Pediatric Safety and Immunogenicity Study of Cell-Culture Derived and Egg-based Subunit Influenza Vaccines in Healthy Children and Adolescents","Completed","Has Results","Influenza","Biological: Cell culture-derived influenza subunit vaccine (cTIV)|Biological: Egg derived influenza subunit vaccine (eTIV)","Site 09, Fayetteville, Arkansas, United States|Site 10, Downey, California, United States|Site 02, Bardstown, Kentucky, United States|Site 14, Metairie, Louisiana, United States|Site 01, St. Louis, Missouri, United States|Site 11, Omaha, Nebraska, United States|Site 04, Edison, New Jersey, United States|Site 05, Endwell, New York, United States|Site 16, Fort Worth, Texas, United States|Site 13, San Angelo, Texas, United States|Site 12, San Antonio, Texas, United States|Site 08, Bountiful, Utah, United States|Site 07, Salt Lake City, Utah, United States|Site 03, Salt Lake City, Utah, United States|Site 06, Burke, Virginia, United States|Site 15, Spokane, Washington, United States|Site 44:Spec. Pediatric Dispensary, Dakovo, Croatia|Site 83, Ljudevita Gaja 2, Djakovo, Croatia|Site 43: Spec. Pediatric Dispensary, Sisak, Croatia|Site 27:Institute of Public Health, Zagreb, Croatia|Site 29: Institute of Public Health, Zagreb, Croatia|Site 40:Spec. Pediatric Dispensary, Zagreb, Croatia|Site 49: Spec. Pediatric Dispensary, Zagreb, Croatia|Site 50: Spec. Pediatric Dispensary, Zagreb, Croatia|Site 86: Spec. Pediatric Dispensary, Zagreb, Croatia|Site 70: Espoon rokotetutkimusklinikka, Heikintori, Espoo, Finland|Site 79: Kokkola Vaccine Research Clinic, Rantakatu 7, Kokkola, Finland|Site 78: Kuopio Vaccine Research Clinic, Microkatu 1,Osa/Section A, 3rd floor PL1188, Kuopio, Finland|Site 71: Etelä-Helsingin rokotetutkimusklinikka, Helsinki, Finland|Site 72: Itä-Helsingin rokotetutkimusklinikka, Helsinki, Finland|Site 76: Järvenpään rokotetutkimusklinikka, Järvenpää, Finland|Site 77: Kotkan rokotetutkimusklinikka, Kotka, Finland|Site 67: Lahden rokotetutkimusklinikka, Lahti, Finland|Site 75: Oulun rokotetutkimusklinikka, Oulu, Finland|Site 68: Porin rokotetutkimusklinikka, Pori, Finland|Site 66: Tampereen rokotetutkimusklinikka, Tampere, Finland|Site 69: Turun rokotetutkimusklinikka, Turku, Finland|Site 73: Itä-Vantaan rokotetutkimusklinikka, Vantaa, Finland|Site 74: Länsi-Vantaan rokotetutkimusklinikka, Vantaa, Finland|Site 57: Házi Gyermekorvosi Rendelő, Budapest, Hungary|Site 53: Heim Pál Gyermekkórház, Budapest, Hungary|Site 52: Ferencvárosi Gyermekorvos Kft., Budapest, Hungary|Site 56: Házi Gyermekorvosi Rendelő, Budapest, Hungary|Site 54: Házi Gyermekorvosi Rendelő, Budapest, Hungary|Site 51: 5053. számú Gyermekorvosi Rendelő, Miskolc, Hungary|Site 55: Revamed kft., Nyíregyháza, Hungary|Site 59: Vas Megyei Markusovszky Lajos, Általános, Rehabilitációs és Gyógyfürdő Kórház, Egyetemi Oktató Kórház, Szombathely, Hungary|Site 42: Dipartimento di Medicina Clinica e Sperimentale - Sezione di Igiene e Medicina Preventiva, Ferrara, Italy|Site 47: Dipartimento Scienze della Salute, Sezione di Igiene e Medicina Preventiva, Univesità di Genova, Genova, Italy|Site 41: Ospedale Maggiore della Carità-Clinica Pediatrica, Novara, Italy|Site 46: USL 2 Perugia, Distretto del perugino, Centro di Salute n. 4 (Madonna Alta) e n. 6 (Ellera di Corciano del distretto del perugino), Perugia, Italy|Site 45: AUSL 7, Ragusa, Italy|Site 35, Kaunas, Lithuania|Site 36, Vilnius, Lithuania|Site 32, Vilnius, Lithuania|Site 34, Vilnius, Lithuania|Site 31, Vilnius, Lithuania|Site 33, Vilnius, Lithuania|Site 25, Campulung Muscel, Arges, Romania|Site 21, Craiova, Dolj, Romania","https://ClinicalTrials.gov/show/NCT00645411"
98,"Safety and Immunogenicity of A/H1N1-SOIV (Swine Flu) Vaccine With and Without Adjuvant in Children (3 to < 9 Years)","Completed","Has Results","Influenza","Biological: MF59-eH1N1","Premier Health Research Center, LLC, Downey, California, United States|Madera Family Medical Group, Madera, California, United States|Center for Clincal Trials, LLC, Paramount, California, United States|Center for Clinical Trials, LLC, Paramount, California, United States|Center for Clinical Trials of San Gabriel, West Covina, California, United States|1st International Research Centers, Thornton, Colorado, United States|Pediatrics and Adolescent Medicine, Marietta, Georgia, United States|Pediatrics and Adolescent Medicine, Woodstock, Georgia, United States|Northern Illinois Research Associates, Dekalb, Illinois, United States|Bluegrass Clinical Research, Inc., New Albany, Indiana, United States|Heartland Research Associates LLC, Arkansas City, Kansas, United States|Heartland Research Associates LLC, Newton, Kansas, United States|Bluegrass Clinical Research, Inc (Brownsboro for drug shipment), Louisville, Kentucky, United States|Meridien Clinical Research, Omaha, Nebraska, United States|Clinical Research Center of Nevada, Henderson, Nevada, United States|Capital Pediatrics and Adolescent Ctr., Raleigh, North Carolina, United States|Dr. Senders and Associates, Pediatrics, Cleveland, Ohio, United States|Prestige Clinical Research, Franklin, Ohio, United States|IPS Research, Oklahoma City, Oklahoma, United States|The Portland Clinic LLP, Beaverton, Oregon, United States|Children's Health Care -West, Erie, Pennsylvania, United States|UPMC/Community Medicine (pediatrics), Greenville, Pennsylvania, United States|Pediatric Physicians Research, Inc., Jefferson Hills, Pennsylvania, United States|Pediatric Alliance - Greentree Division (pediatrics), Pittsburgh, Pennsylvania, United States|Omega Clinical Research, Warwick, Rhode Island, United States|Holston Medical Group, Kingsport, Tennessee, United States|Research Across America, Dallas, Texas, United States|West Houston Clinical Research Service, Houston, Texas, United States|Pediatric Healthcare of NW Houston, Tomball, Texas, United States|J.Lewis Research, Inc./Foothill Family Clinic, Salt Lake City, Utah, United States|J. Lewis Research, Inc./Foothill Family Clinic South, Salt Lake City, Utah, United States|PI-Coor Clinical Research, Burke, Virginia, United States|Virginia Commonwealth University, Richmond, Virginia, United States|Rockwood Research Center, Spokane, Washington, United States|Instituto Nacional de Ciencias, Tlalpan, Mexico","https://ClinicalTrials.gov/show/NCT00972816"
99,"Safety and Immunogenicity of A/H1N1-SOIV (Swine Flu) Vaccine With and Without Adjuvant in Non-Elderly and Elderly Adults","Completed","Has Results","Influenza","Biological: MF59-eH1N1_f","Miami Research Associates, Miami, Florida, United States|Johnson County Clin-Trials, Lenexa, Kansas, United States|Meridien Clinical Research, Omaha, Nebraska, United States|Regional Clinical Research, Endwell, New York, United States|Rochester Clinical Research, Inc, Rochester, New York, United States|Triangle Medical Research Associates, Cary, North Carolina, United States|Triangle Medical Research Associates, Raleigh, North Carolina, United States|Carolina Medical Trials, Winston-Salem, North Carolina, United States|Prestige Clinical Research, Franklin, Ohio, United States|IPS Research, Oklahoma City, Oklahoma, United States|West Ridge Family Practice (adult), Erie, Pennsylvania, United States|Primary Physicians Research Inc. (adult), Jefferson Hills, Pennsylvania, United States|Omega Clinical Research, Warwick, Rhode Island, United States|Research Across America, Dallas, Texas, United States|West Houston Clinical Research Service, Houston, Texas, United States|J.Lewis Research, Inc./Foothill Family Clinic, Salt Lake City, Utah, United States|J. Lewis Research, Inc./Foothill Family Clinic South, Salt Lake City, Utah, United States|PI-Coor Clinical Research, Burke, Virginia, United States|PI Coor Clinical Research, Fairfax, Virginia, United States|Virginia Commonwealth University, Richmond, Virginia, United States|Instituto Nacional de Ciencias, Tlalpan, Mexico","https://ClinicalTrials.gov/show/NCT00973349"
100,"H5N1 (Clade 2) Vaccination of Adults and Elderly","Completed","No Results Available","Influenza","Biological: Influenza Virus Vaccine, Monovalent A/H5N1 A/Indonesia/05/2005","Stanford University - Stanford Hospital and Clinics - Pediatrics - Infectious Diseases, Stanford, California, United States|University of Iowa - Vaccine Research and Education Unit, Iowa City, Iowa, United States|University of Maryland School of Medicine - Center for Vaccine Development - Baltimore, Baltimore, Maryland, United States|Saint Louis University - Center for Vaccine Development, Saint Louis, Missouri, United States|Duke Translational Medicine Institute - Clinical Vaccine Unit, Durham, North Carolina, United States|Cincinnati Children's Hospital Medical Center - Infectious Diseases, Cincinnati, Ohio, United States|Vanderbilt University - Pediatric - Vanderbilt Vaccine Research Center, Nashville, Tennessee, United States|Baylor College of Medicine - Molecular Virology and Microbiology, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00680069"
101,"Evaluation of the Efficacy and Safety of Peramivir in Subjects With Uncomplicated Acute Influenza.","Completed","Has Results","Influenza","Drug: Peramivir 150 mg|Drug: Peramivir 300 mg|Drug: Placebo","Radiant Research, Birmingham, Alabama, United States|Clopton Clinic, Jonesboro, Arkansas, United States|Advanced Clinical Research Institute, Anaheim, California, United States|Orange County Clinical Trials, Anaheim, California, United States|Medical Center, Carmichael, California, United States|Pacific Sleep Medicines Service, El Centro, California, United States|Advanced Clinical Research Institute, Orange, California, United States|Benchmark Research, Sacramento, California, United States|Pacific Sleep Medicine Services, San Diego, California, United States|Pacific Sleep Medicine Services, San Francisco, California, United States|Alpine Clinical Research Center, Boulder, Colorado, United States|George Washington Unviersity, Washington, District of Columbia, United States|Clinical Research of Southern Florida, Coral Gables, Florida, United States|University Clinical Research-Deland, LLC, DeLand, Florida, United States|Florida Medical Research Institute, Gainesville, Florida, United States|Jacksonville Center for Clinical Research, Jacksonville, Florida, United States|Jacksonville Center for Clinical Research, Jacksonville, Florida, United States|Clinical Research Center, Sarasota, Florida, United States|Palm Beach Research Center, West Palm Beach, Florida, United States|Georgia Clinical Research, Atlanta, Georgia, United States|Wishard Hospital, Indianapolis, Indiana, United States|Radiant Research, Overland Park, Kansas, United States|Kentucky Pediatric / Adult Research, Bardstown, Kentucky, United States|Central Kentucky Research Assoc, Inc, Lexington, Kentucky, United States|Benchmark Research, Metairie, Louisiana, United States|Radiant Research, Minneapolis, Edina, Minnesota, United States|Barnes-Jewish Hospital Emergency Department, St Louis, Missouri, United States|Medex Healthcare Research, Inc., St. Louis, Missouri, United States|Radiant Research, St. Louis, Missouri, United States|Bozeman Urgent Care Center, Bozeman, Montana, United States|Alliance Medical Center, Alliance, Nebraska, United States|Midwest Family Physicians, Omaha, Nebraska, United States|UMDNJ, Cherry Hill, New Jersey, United States|Pulmonary & Critical Care Associates, East Brunswick, New Jersey, United States|Brooklyn Hospital Center, Brooklyn, New York, United States|Wake Research Associates, LLC, Raleigh, North Carolina, United States|Summa Health, Akron, Ohio, United States|Sterling Research Group, LTD., Cincinnati, Ohio, United States|Integrated Medical Research, PC, Ashland, Oregon, United States|Research Across America at Oyster Point Family Health Center, Lancaster, Pennsylvania, United States|Radiant Research, Philadelphia, Pennsylvania, United States|Primary Physicians Research, Inc, Pittsburgh, Pennsylvania, United States|New England Center for Clinical Research, Inc, Cranston, Rhode Island, United States|Paragon Clinical Research, Inc., Cranston, Rhode Island, United States|Omega Medical Research, Warwick, Rhode Island, United States|Hillcrest Family Practice, Simpsonville, South Carolina, United States|Research Across America, Dallas, Texas, United States|Radiant Research, Dallas, Texas, United States|Towngate Plaza Medical Center, Garland, Texas, United States|Baylor Clinic-Baylor College of Medicine, Houston, Texas, United States|GSA Research, San Antonio, Texas, United States|Radiant Research-San Antonio Northeast, San Antonio, Texas, United States|Radiant Research San Antonio, San Antonio, Texas, United States|Balbir Chahal M.D. ,P.A, Tomball, Texas, United States|Dynamed Clinical Research, Tomball, Texas, United States|J. Lewis Research, Inc. Foothill Family Clinic, Salt Lake City, Utah, United States|J. Lewis Research, Inc. Foothill Family Clinic South, Salt Lake City, Utah, United States|J. Lewis Research, Inc./Southwest Family Medicine, West Jordan, Utah, United States|Calgary West Medical Cnetre Clinical Studies, Calgary, Alberta, Canada|Belvedere Medicentre, Edmonton, Alberta, Canada|Hermitage Medicentres, Edmonton, Alberta, Canada|RJA Medicentres, Edmonton, Alberta, Canada|Castledowns Medicentre, Edmonton, Alberta, Canada|Gain Medical Centre, Coquitlam, British Columbia, Canada|Source Unique Clinic, Hawkesbury, Ontario, Canada|Manna Research, Toronto, Ontario, Canada|Omnispec Clinical Reasearch Inc, Mirabel, Quebec, Canada|Clinique Medicale des Campus, Ste-Foy, Quebec, Canada|Prairie Clinical, Saskatoon, Saskatchewan, Canada","https://ClinicalTrials.gov/show/NCT00419263"
102,"Study on the Incidence of Influenza and Its Complications, in Subjects Aged 50 Years and Over Vaccinated With Fluarix™","Completed","Has Results","Influenza","Biological: Fluarix™","GSK Investigational Site, Mobile, Alabama, United States|GSK Investigational Site, Delray Beach, Florida, United States|GSK Investigational Site, Pembroke Pines, Florida, United States|GSK Investigational Site, Las Vegas, Nevada, United States|GSK Investigational Site, Somers Point, New Jersey, United States|GSK Investigational Site, Camillus, New York, United States|GSK Investigational Site, Raleigh, North Carolina, United States|GSK Investigational Site, Pittsburgh, Pennsylvania, United States|GSK Investigational Site, Norfolk, Virginia, United States|GSK Investigational Site, Gueglingen, Baden-Wuerttemberg, Germany|GSK Investigational Site, Rudersberg, Baden-Wuerttemberg, Germany|GSK Investigational Site, Weinheim, Baden-Wuerttemberg, Germany|GSK Investigational Site, Potsdam, Brandenburg, Germany|GSK Investigational Site, Frankfurt/Main, Hessen, Germany|GSK Investigational Site, Essen, Nordrhein-Westfalen, Germany|GSK Investigational Site, Witten, Nordrhein-Westfalen, Germany|GSK Investigational Site, Mainz, Rheinland-Pfalz, Germany|GSK Investigational Site, Rhaunen, Rheinland-Pfalz, Germany|GSK Investigational Site, Magdeburg, Sachsen-Anhalt, Germany|GSK Investigational Site, Dresden, Sachsen, Germany|GSK Investigational Site, Leipzg, Sachsen, Germany|GSK Investigational Site, Leipzig, Sachsen, Germany|GSK Investigational Site, Leipzig, Sachsen, Germany|GSK Investigational Site, Berlin, Germany|GSK Investigational Site, Berlin, Germany|GSK Investigational Site, Berlin, Germany|GSK Investigational Site, Hamburg, Germany|GSK Investigational Site, Hamburg, Germany|GSK Investigational Site, Hamburg, Germany|GSK Investigational Site, Hamburg, Germany|GSK Investigational Site, Utrecht, Netherlands|GSK Investigational Site, Debica, Poland|GSK Investigational Site, Krakow, Poland|GSK Investigational Site, Mielec, Poland|GSK Investigational Site, Porabka, Poland|GSK Investigational Site, Siemianowice Slaskie, Poland|GSK Investigational Site, Wroclaw, Poland","https://ClinicalTrials.gov/show/NCT00377611"
103,"Evaluation of Efficacy and Safety of Peramivir in Adults With Acute Serious or Potentially Life-threatening Influenza","Completed","Has Results","Influenza","Drug: Peramivir 200 mg|Drug: Peramivir 400 mg|Drug: Oseltamivir","Pulmonary Associates of Mobile, P.C., Mobile, Alabama, United States|St. Bernards Research Center/Clopton Clinic, Jonesboro, Arkansas, United States|Pulmonary Consultants & Primary Care Physicians Medical Group, Inc., Orange, California, United States|University of California Irvine Medical Center, Orange, California, United States|University of California Davis Medical Center, Department of Emergency Medicine, Sacramento, California, United States|Good Samaritan Hospital, San Jose, California, United States|National Jewish Medical and Research Center, Clinical Research Unit, Denver, Colorado, United States|Orlando Regional Healthcare, Orlando, Florida, United States|James A. Haley Veterans Hospital, Department of Infectious Disease, Tampa, Florida, United States|Medical College of Georgia, Augusta, Georgia, United States|Infectious Disease Specialists of Atlanta, P.C., Decatur, Georgia, United States|St. Joseph's/Candler Health System, Inc., Savannah, Georgia, United States|Idaho Falls Infectious Diseases, PLLC, Idaho Falls, Idaho, United States|Northwestern University, Chicago, Illinois, United States|Springfield Clinic, LLP, Springfield, Illinois, United States|Wishard Hospital/Indiana University, Indianapolis, Indiana, United States|Infectious Disease of Indiana, PSC, Indianapolis, Indiana, United States|Natchitoches Internal Medicine, Natchitoches, Louisiana, United States|Louisiana State University Health Sciences Center-Shreveport, Shreveport, Louisiana, United States|VA Maryland Health Care System, Baltimore, Maryland, United States|Franklin Square Hospital, Baltimore, Maryland, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|Wayne State University School of Medicine, Detroit, Michigan, United States|Henry Ford Health System, Detroit, Michigan, United States|William Beaumont Hospital Troy, Troy, Michigan, United States|Washington University School of Medicine, St. Louis, Missouri, United States|Mercury Street Medical Group, PLLC, Butte, Montana, United States|Hackensack University Medical Center, Department of Infectious Disease, Hackensack, New Jersey, United States|Jersey Shore University Medical Center, Neptune, New Jersey, United States|University of New Mexico, Albuquerque, New Mexico, United States|Rochester General Hospital/University of Rochester, Rochester, New York, United States|University of Rochester Medical Center, Rochester, New York, United States|University Hospitals Case Medical Center, Cleveland, Ohio, United States|Temple University Hospital, Philadelphia, Pennsylvania, United States|Lowcountry Infectious Diseases, P.A., Charleston, South Carolina, United States|Baylor College of Medicine, Houston, Texas, United States|University of Utah Health Sciences Center, Salt Lake City, Utah, United States|Veterans Affairs Medical Center, Salem, Virginia, United States|Franciscan Health System, Tacoma, Washington, United States|Marshfield Clinic, Marshfield, Wisconsin, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, United States|Prince Of Wales Hospital, Randwick, New South Wales, Australia|Westmead Hospital, Wentworthville, New South Wales, Australia|Cairns Base Hospital, Cairns, Queensland, Australia|Mater Adult Hospital, South Brisbane, Queensland, Australia|Gold Coast Hospital, Southport, Queensland, Australia|Princess Alexandra Hospital, Woolloongabba, Queensland, Australia|Repatriation General Hospital, Daw Park, South Australia, Australia|Royal Melbourne Hospital, Parkville, Victoria, Australia|Sir Charles Gairdner Hospital, Nedlands, Western Australia, Australia|Kelowna General Hospital, Kelowna, British Columbia, Canada|Hamilton Health Sciences-McMaster University Medical Centre, Hamilton, Ontario, Canada|St. Joseph's Healthcare Hamilton-L424, Hamilton, Ontario, Canada|The Ottawa Hospital - General Campus, Ottawa, Ontario, Canada|Mount Sinai Hospital / Toronto Medical Laboratories, Toronto, Ontario, Canada|Center de Sante et des Services Sociaux de Chicoutimi, Chicoutimi, Quebec, Canada|Maisonneuve-Rosemont Hospital, Montreal, Quebec, Canada|Centre de sante et de services sociaux Rimouski-Neigette (CSSSRN), Rimouski, Quebec, Canada|Division of Infectious Diseases, Saskatoon, Saskatchewan, Canada|Centre Hospitalier Universitaire de Quebec-Pavillon CHUL, Quebec, Canada|Princess Margaret Hospital, Hong Kong, Hong Kong|Queen Mary Hospital, Hong Kong, Hong Kong|United Christian Hospital, Hong Kong, Hong Kong|The Prince of Wales Hospital, Shatin - New Territories, Hong Kong|Christchurch Hospital, Christchurch, New Zealand|Waikato Hospital, Hamilton, New Zealand|Tauranga Hospital, Tauranga, New Zealand|National University Hospital, Singapore, Singapore|Tan Tock Seng Hospital, Singapore, Singapore|Global Clinical Trial Center, Port Elizabeth, E. Cape, South Africa|Genclin Corporation, Bloemfontein, Free State, South Africa|Benmed / Pentagon Hospital, Benoni, Gauteng, South Africa|Private Practice, Cape Town, Gauteng, South Africa|Newgate Centre, Johannesburg,, Gauteng, South Africa|DJW Navorsing, Krugersdorp, Gauteng, South Africa|Medforum Hospital, Pretoria, Gauteng, South Africa|Eugene Marais Hospital, Pretoria, Gauteng, South Africa|Global Clinical Trials (GCT), Pretoria, Gauteng, South Africa|Dr Bhorat, Soweto, Gauteng, South Africa|Sebastian, P, Durban, KZ-Natal, South Africa|Eksteen, MC, Nelspruit, Mpumalanga, South Africa|Dr. L.J. van Zyl, Worcester, W Cape, South Africa|N1 City Hospital, Cape town, WC, South Africa","https://ClinicalTrials.gov/show/NCT00453999"
104,"H5 Vaccine Alone or With Aluminum Hydroxide in Elderly Adults","Completed","No Results Available","Influenza","Biological: Aluminum hydroxide|Biological: Inactivated Influenza A/H5N1 Vaccine (sanofi pasteur)","University of Iowa, Iowa City, Iowa, United States|University of Maryland Baltimore, Baltimore, Maryland, United States|Saint Louis University, St. Louis, Missouri, United States|University of Rochester, Rochester, New York, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Vanderbilt University - Pediatric - Vanderbilt Vaccine Research Center, Nashville, Tennessee, United States|Baylor College of Medicine, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00294099"
105,"Immunogenicity, Safety and Tolerability of CSL Limited Inactivated Influenza Vaccine in Adults","Completed","No Results Available","Influenza","Biological: CSL Trivalent Inactivated Influenza Vaccine - Thimerosal-free|Biological: CSL Trivalent Inactivated Influenza Vaccine with Thimerosal|Biological: Placebo with Thimerosal","Stanford University, Stanford, California, United States|University of Iowa, Iowa City, Iowa, United States|University of Maryland Baltimore, Baltimore, Maryland, United States|Saint Louis University, St. Louis, Missouri, United States|University of Rochester, Rochester, New York, United States|Duke University Medical Center, Durham, North Carolina, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Vanderbilt University, Nashville, Tennessee, United States|Baylor College of Medicine, Houston, Texas, United States|Clinical Alliance for Research & Education - Infectious Diseases, Annandale, Virginia, United States","https://ClinicalTrials.gov/show/NCT00333398"
106,"Study to Evaluate the Safety and Immune Response of Two-Doses of Candidate Influenza Vaccine GSK 1557484A in Adults","Completed","Has Results","Influenza","Biological: Pumarix™|Biological: Pandemrix ™","GSK Investigational Site, Huntsville, Alabama, United States|GSK Investigational Site, Anaheim, California, United States|GSK Investigational Site, Miami, Florida, United States|GSK Investigational Site, Stockbridge, Georgia, United States|GSK Investigational Site, Lenexa, Kansas, United States|GSK Investigational Site, Missoula, Montana, United States|GSK Investigational Site, Las Vegas, Nevada, United States|GSK Investigational Site, Halifax, Nova Scotia, Canada|GSK Investigational Site, Truro, Nova Scotia, Canada|GSK Investigational Site, Sherbrooke, Quebec, Canada","https://ClinicalTrials.gov/show/NCT00510874"
